 itemid |                label                 
--------+--------------------------------------
  51365 | Atypical Lymphocytes
  50947 | I
  51214 | Fibrinogen, Functional
  51356 | Myelocytes
  51346 | Blasts
  51102 | Total Protein, Urine
  50815 | O2 Flow
  51030 | Chloride, Body Fluid
  51451 | Myelocytes
  51363 | WBC, CSF
  51018 | Total Protein, CSF
  50857 | Acetone
  51453 | Other
  51267 | Poikilocytosis
  50803 | Calculated Bicarbonate, Whole Blood
  51049 | Bilirubin, Total, Pleural
  50876 | Anti-Smooth Muscle Antibody
  50928 | Gastrin
  51032 | Creatinine, Body Fluid
  51199 | Eosinophil Count
  51272 | Protein S, Antigen
  51279 | Red Blood Cells
  50882 | Bicarbonate
  51313 | CD19
  51424 | Immunophenotyping
  51517 | WBC Casts
  51081 | Creatinine, Serum
  51158 | CD14
  51294 | Target Cells
  51282 | Reticulocyte Count, Absolute
  51354 | Metamyelocytes
  51385 | Atypical Lymphocytes
  51122 | Nucleated RBC
  50930 | Globulin
  51506 | Urine Appearance
  50889 | C-Reactive Protein
  51422 | Hematocrit, Other Fluid
  51187 | CD55
  51250 | MCV
  51284 | Reticulocyte Count, Manual
  51497 | Renal Epithelial Cells
  51287 | Schistocytes
  50868 | Anion Gap
  51124 | Plasma
  51216 | Fragmented Cells
  51261 | Pappenheimer Bodies
  51084 | Glucose, Urine
  51438 | RBC, Other Fluid
  51070 | Albumin/Creatinine, Urine
  51486 | Leukocytes
  50801 | Alveolar-arterial Gradient
  50964 | Osmolality, Measured
  51123 | Other
  51243 | Lupus Anticoagulant
  50843 | Lactate Dehydrogenase, Ascites
  50900 | Carcinoembyronic Antigen (CEA)
  50869 | Anti-DGP (IgA/IgG)
  51047 | Amylase, Pleural
  51120 | Monocytes
  51352 | Macrophage
  51038 | Miscellaneous, Body Fluid
  50991 | Thyroglobulin
  51263 | Plasma Cells
  51408 | CD4
  51245 | Lymphocytes, Percent
  51152 | CD10
  51052 | Creatinine, Pleural
  51076 | Bicarbonate, Urine
  51001 | Triiodothyronine (T3)
  51331 | CD64
  51427 | Lymphocytes
  51082 | Creatinine, Urine
  51428 | Macrophage
  51202 | Factor II
  51502 | Trichomonas
  51026 | Amylase, Body Fluid
  51079 | Cocaine, Urine
  51138 | Anticardiolipin Antibody IgG
  50926 | Follicle Stimulating Hormone
  50965 | Parathyroid Hormone
  51203 | Factor IX
  51149 | Bleeding Time
  50976 | Protein, Total
  50967 | Phenytoin
  51045 | Urea Nitrogen, Body Fluid
  50829 | Fluid Type
  51023 | LD, Joint Fluid
  51105 | Uric Acid, Urine
  51340 | Kappa
  51170 | CD20 Absolute Count
  51022 | Glucose, Joint Fluid
  51156 | CD13
  50837 | Bicarbonate, Ascites
  51456 | Promyelocytes
  50989 | Testosterone, Free
  51042 | Sodium, Body Fluid
  51248 | MCH
  51518 | WBC Clumps
  50864 | Alpha-Fetoprotein
  51298 | Von Willebrand Factor Activity
  51066 | 24 hr Calcium
  50821 | pO2
  51362 | RBC, CSF
  50971 | Potassium
  51444 | Eosinophils
  51334 | CD8
  51244 | Lymphocytes
  51341 | Lambda
  51043 | Total Protein, Body Fluid
  51493 | RBC
  51099 | Protein/Creatinine Ratio
  51312 | CD16/56
  51384 | WBC, Joint Fluid
  51154 | CD117
  51348 | Hematocrit, CSF
  51446 | Lymphocytes
  51247 | MacroOvalocytes
  50849 | Total Protein, Ascites
  50816 | Oxygen
